a.	900	in	soa	b.c.d.a. e.f.g. 1738013954 1800 300 604800 1800
h.d.a.	3600	in	a	37.209.192.9
h.d.a.	3600	in	aaaa	2001:0dcd:0001:0000:0000:0000:0000:0009
i.a.	3600	in	ns	j.k.l.m.
i.a.	3600	in	ns	n.k.l.m.
i.a.	3600	in	ns	o.k.l.m.
i.a.	3600	in	ns	p.k.l.m.
i.a.	3600	in	ns	q.r.s.
i.a.	3600	in	ns	t.r.s.
i.a.	3600	in	ns	u.r.s.
i.a.	3600	in	ns	v.r.s.
w.a.	3600	in	ns	j.k.l.m.
w.a.	3600	in	ns	n.k.l.m.
w.a.	3600	in	ns	o.k.l.m.
w.a.	3600	in	ns	p.k.l.m.
w.a.	3600	in	ns	q.r.s.
w.a.	3600	in	ns	t.r.s.
w.a.	3600	in	ns	u.r.s.
w.a.	3600	in	ns	v.r.s.
x.a.	3600	in	ns	j.k.l.m.
x.a.	3600	in	ns	n.k.l.m.
x.a.	3600	in	ns	o.k.l.m.
x.a.	3600	in	ns	p.k.l.m.
x.a.	3600	in	ns	q.r.s.
x.a.	3600	in	ns	t.r.s.
x.a.	3600	in	ns	u.r.s.
x.a.	3600	in	ns	v.r.s.
y.a.	3600	in	ns	j.k.l.m.
y.a.	3600	in	ns	n.k.l.m.
y.a.	3600	in	ns	o.k.l.m.
y.a.	3600	in	ns	p.k.l.m.
y.a.	3600	in	ns	q.r.s.
y.a.	3600	in	ns	t.r.s.
y.a.	3600	in	ns	u.r.s.
y.a.	3600	in	ns	v.r.s.
z.a.	3600	in	ns	j.k.l.m.
z.a.	3600	in	ns	n.k.l.m.
z.a.	3600	in	ns	o.k.l.m.
z.a.	3600	in	ns	p.k.l.m.
z.a.	3600	in	ns	q.r.s.
z.a.	3600	in	ns	t.r.s.
z.a.	3600	in	ns	u.r.s.
z.a.	3600	in	ns	v.r.s.
aa.a.	3600	in	ns	j.k.l.m.
aa.a.	3600	in	ns	n.k.l.m.
aa.a.	3600	in	ns	o.k.l.m.
aa.a.	3600	in	ns	p.k.l.m.
aa.a.	3600	in	ns	q.r.s.
aa.a.	3600	in	ns	t.r.s.
aa.a.	3600	in	ns	u.r.s.
aa.a.	3600	in	ns	v.r.s.
ab.a.	3600	in	ns	ac.ad.ae.
ab.a.	3600	in	ns	af.ag.ah.ai.
ab.a.	3600	in	ns	aj.ak.s.
ab.a.	3600	in	ns	al.am.m.
an.d.a.	3600	in	a	37.209.194.9
an.d.a.	3600	in	aaaa	2001:0dcd:0002:0000:0000:0000:0000:0009
ao.a.	3600	in	ns	j.k.l.m.
ao.a.	3600	in	ns	n.k.l.m.
ao.a.	3600	in	ns	o.k.l.m.
ao.a.	3600	in	ns	p.k.l.m.
ao.a.	3600	in	ns	q.r.s.
ao.a.	3600	in	ns	t.r.s.
ao.a.	3600	in	ns	u.r.s.
ao.a.	3600	in	ns	v.r.s.
ap.a.	3600	in	ns	j.k.l.m.
ap.a.	3600	in	ns	n.k.l.m.
ap.a.	3600	in	ns	o.k.l.m.
ap.a.	3600	in	ns	p.k.l.m.
ap.a.	3600	in	ns	q.r.s.
ap.a.	3600	in	ns	t.r.s.
ap.a.	3600	in	ns	u.r.s.
ap.a.	3600	in	ns	v.r.s.
aq.a.	3600	in	ns	j.k.l.m.
aq.a.	3600	in	ns	n.k.l.m.
aq.a.	3600	in	ns	o.k.l.m.
aq.a.	3600	in	ns	p.k.l.m.
aq.a.	3600	in	ns	q.r.s.
aq.a.	3600	in	ns	t.r.s.
aq.a.	3600	in	ns	u.r.s.
aq.a.	3600	in	ns	v.r.s.
ar.a.	3600	in	ns	j.k.l.m.
ar.a.	3600	in	ns	n.k.l.m.
ar.a.	3600	in	ns	o.k.l.m.
ar.a.	3600	in	ns	p.k.l.m.
ar.a.	3600	in	ns	q.r.s.
ar.a.	3600	in	ns	t.r.s.
ar.a.	3600	in	ns	u.r.s.
ar.a.	3600	in	ns	v.r.s.
as.a.	3600	in	ns	j.k.l.m.
as.a.	3600	in	ns	n.k.l.m.
as.a.	3600	in	ns	o.k.l.m.
as.a.	3600	in	ns	p.k.l.m.
as.a.	3600	in	ns	q.r.s.
as.a.	3600	in	ns	t.r.s.
as.a.	3600	in	ns	u.r.s.
as.a.	3600	in	ns	v.r.s.
at.a.	3600	in	ns	j.k.l.m.
at.a.	3600	in	ns	n.k.l.m.
at.a.	3600	in	ns	o.k.l.m.
at.a.	3600	in	ns	p.k.l.m.
at.a.	3600	in	ns	q.r.s.
at.a.	3600	in	ns	t.r.s.
at.a.	3600	in	ns	u.r.s.
at.a.	3600	in	ns	v.r.s.
au.d.a.	3600	in	a	37.209.196.9
au.d.a.	3600	in	aaaa	2001:0dcd:0003:0000:0000:0000:0000:0009
av.a.	3600	in	ns	j.k.l.m.
av.a.	3600	in	ns	n.k.l.m.
av.a.	3600	in	ns	o.k.l.m.
av.a.	3600	in	ns	p.k.l.m.
av.a.	3600	in	ns	q.r.s.
av.a.	3600	in	ns	t.r.s.
av.a.	3600	in	ns	u.r.s.
av.a.	3600	in	ns	v.r.s.
aw.a.	3600	in	ns	j.k.l.m.
aw.a.	3600	in	ns	n.k.l.m.
aw.a.	3600	in	ns	o.k.l.m.
aw.a.	3600	in	ns	p.k.l.m.
